Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,19 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),,21:15,01:45,04h 30m,INR 450,,3.1,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,19 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),,21:15,01:45,04h 30m,INR 450,,3.1,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,19 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:15,01:45,04h 30m,INR 450,14 Seats available,3.1,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),,21:45,02:00,04h 15m,INR 450,,3.0,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),A/C Seater / Sleeper (2+1),20:45,02:30,05h 45m,INR 500,19 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),NON A/C Seater (2+1),21:15,01:45,04h 30m,INR 450,14 Seats available,3.1,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
Pranjit Travels (Under ASTC),,21:45,02:00,04h 15m,INR 450,,3.0,https://www.redbus.in/bus-tickets/guwahati-to-tezpur,Guwahati to Tezpur
