Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
TGSRTC - 8977,Super Luxury (Non AC Seater 2+2 Push Back),13:50,17:45,03h 55m,INR 320,17 Seats available,"4.2
18",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64020,RAJDHANI (A.C. Semi Sleeper),14:00,18:00,04h 00m,INR 389,8 Seats available,"3.9
64",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 64863,Super Luxury (Non AC Seater 2+2 Push Back),14:30,18:30,04h 00m,INR 320,21 Seats available,"4.0
3",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8974,Super Luxury (Non AC Seater 2+2 Push Back),14:40,18:30,03h 50m,INR 320,24 Seats available,"3.1
15",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8665,LAHARI A/C SLEEPER CUM SEATER,15:00,20:00,05h 00m,INR 389,14 Seats available,"4.4
72",https://www.redbus.in/bus-tickets/khammam-to-hyderabad,Khammam to Hyderabad
TGSRTC - 8660,RAJDHANI (A.C. Semi Sleeper),13:30,17:30,04h 00m,INR 389,35 Seats available,"2.7
56",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 8850,Super Luxury (Non AC Seater 2+2 Push Back),13:30,18:10,04h 40m,INR 320,20 Seats available,"4.0
11",https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 64526,,13:40,17:55,04h 15m,INR 320,30 Seats available,3.5,https://www.redbus.in/bus-tickets/hyderabad-to-khammam,Hyderabad to Khammam
TGSRTC - 7027,Super Luxury (Non AC Seater 2+2 Push Back),14:10,17:10,03h 00m,INR 283,29 Seats available,"4.4
25",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 7152,RAJDHANI (A.C. Semi Sleeper),14:15,17:20,03h 05m,INR 343,21 Seats available,3.7,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 7831,RAJDHANI (A.C. Semi Sleeper),14:30,17:30,03h 00m,INR 343,26 Seats available,"3.4
47",https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad,Karimnagar to Hyderabad
TGSRTC - 9503,RAJDHANI (A.C. Semi Sleeper),13:50,17:00,03h 10m,INR 343,33 Seats available,"3.8
21",https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
TGSRTC - 7092,Super Luxury (Non AC Seater 2+2 Push Back),14:10,17:10,03h 00m,INR 283,31 Seats available,"2.5
26",https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
TGSRTC - 7267,Super Luxury (Non AC Seater 2+2 Push Back),14:30,18:30,04h 00m,INR 283,31 Seats available,"3.7
24",https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar,Hyderabad to Karimnagar
TGSRTC - 8045,Lahari Non A/C Sleeper Cum Seater,13:40,19:40,06h 00m,INR 429,36 Seats available,"3.5
25",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
TGSRTC - 8090,Super Luxury (Non AC Seater 2+2 Push Back),13:45,19:55,06h 10m,INR 429,31 Seats available,"3.4
3",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
TGSRTC - 8059,Super Luxury (Non AC Seater 2+2 Push Back),13:45,19:10,05h 25m,INR 429,31 Seats available,"3.8
10",https://www.redbus.in/bus-tickets/hyderabad-to-mancherial,Hyderabad to Mancherial
