Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
UPSRTC - BDV0462,Janrath AC Seater 2+2,17:59,21:01,03h 02m,INR 305,12 Seats available,"4.0
9",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0092,Ordinary Non AC Seater 2+3,17:59,21:18,03h 19m,INR 204,52 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0096,Ordinary Non AC Seater 2+3,18:29,21:49,03h 20m,INR 204,52 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - MNP0114,Ordinary Non AC Seater 2+3,18:55,21:47,02h 52m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - MNP0116,Ordinary Non AC Seater 2+3,19:35,22:27,02h 52m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0108,Ordinary Non AC Seater 2+3,20:28,23:49,03h 21m,INR 204,52 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0100,Ordinary Non AC Seater 2+3,20:30,23:50,03h 20m,INR 204,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - MNP0146,Ordinary Non AC Seater 2+3,20:31,23:39,03h 08m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - SKD0223,Ordinary Non AC Seater 2+3,21:55,01:20,03h 25m,INR 255,52 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - KSN0189,Janrath AC Seater 2+3,22:45,02:01,03h 16m,INR 291,48 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - MNP0120,Ordinary Non AC Seater 2+3,23:40,02:32,02h 52m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - HDD0079,Ordinary Non AC Seater 2+3,18:05,20:50,02h 45m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - MNP0138,Ordinary Non AC Seater 2+3,18:10,21:16,03h 06m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - MNP0143,Ordinary Non AC Seater 2+3,18:30,21:36,03h 06m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - ALI0011,Janrath AC Seater 2+2,18:31,21:30,02h 59m,INR 305,36 Seats available,"2.6
16",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - HDD0035,Ordinary Non AC Seater 2+3,18:32,20:50,02h 18m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - PYD0155,Janrath AC Seater 2+3,18:01,22:31,04h 30m,INR 396,48 Seats available,"2.6
7",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - PYD0030,Volvo AC Seater 2+2,18:30,23:00,04h 30m,INR 658,38 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - RBL0010,Ordinary Non AC Seater 2+3,19:00,00:00,05h 00m,INR 310,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - PYD0157,Janrath AC Seater 2+3,19:01,23:01,04h 00m,INR 396,48 Seats available,"1.5
4",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - PYD0037,Volvo AC Seater 2+2,19:30,23:59,04h 29m,INR 658,39 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - LNI0365,Ordinary Non AC Seater 2+3,18:05,22:54,04h 49m,INR 377,52 Seats available,3.3,https://www.redbus.in/bus-tickets/badaun-to-delhi,Badaun to Delhi
UPSRTC - LNI0375,Ordinary Non AC Seater 2+3,19:04,23:51,04h 47m,INR 377,52 Seats available,3.3,https://www.redbus.in/bus-tickets/badaun-to-delhi,Badaun to Delhi
UPSRTC - LNI0368,Ordinary Non AC Seater 2+3,19:05,23:52,04h 47m,INR 377,52 Seats available,3.3,https://www.redbus.in/bus-tickets/badaun-to-delhi,Badaun to Delhi
UPSRTC - BDN0022,Ordinary Non AC Seater 2+3,20:00,02:00,06h 00m,INR 403,52 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/badaun-to-delhi,Badaun to Delhi
UPSRTC - LNI0379,Ordinary Non AC Seater 2+3,20:05,00:55,04h 50m,INR 377,52 Seats available,3.3,https://www.redbus.in/bus-tickets/badaun-to-delhi,Badaun to Delhi
UPSRTC - AWD0008,Janrath AC Seater 2+2,18:00,22:30,04h 30m,INR 458,36 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Allahabad to Lucknow
UPSRTC - ALM0024,Volvo AC Seater 2+2,18:30,23:00,04h 30m,INR 658,39 Seats available,"3.3
3",https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Allahabad to Lucknow
UPSRTC - PYD0158,Janrath AC Seater 2+3,19:01,23:31,04h 30m,INR 396,48 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Allahabad to Lucknow
UPSRTC - ALM0026,Volvo AC Seater 2+2,19:30,23:59,04h 29m,INR 658,39 Seats available,"3.3
3",https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Allahabad to Lucknow
UPSRTC - ALM0060,Volvo AC Seater 2+2,20:30,01:00,04h 30m,INR 658,39 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/allahabad-to-lucknow,Allahabad to Lucknow
UPSRTC - BDV0096,Ordinary Non AC Seater 2+3,18:29,21:49,03h 20m,INR 204,52 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - MNP0114,Ordinary Non AC Seater 2+3,18:55,21:47,02h 52m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - MNP0116,Ordinary Non AC Seater 2+3,19:35,22:27,02h 52m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0108,Ordinary Non AC Seater 2+3,20:28,23:49,03h 21m,INR 204,52 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - BDV0100,Ordinary Non AC Seater 2+3,20:30,23:50,03h 20m,INR 204,52 Seats available,3.3,https://www.redbus.in/bus-tickets/aligarh-uttar-pradesh-to-delhi,Aligarh (uttar pradesh) to Delhi
UPSRTC - HDD0079,Ordinary Non AC Seater 2+3,18:05,20:50,02h 45m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - MNP0138,Ordinary Non AC Seater 2+3,18:10,21:16,03h 06m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - MNP0143,Ordinary Non AC Seater 2+3,18:30,21:36,03h 06m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - ALI0011,Janrath AC Seater 2+2,18:31,21:30,02h 59m,INR 305,36 Seats available,"2.6
16",https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - HDD0035,Ordinary Non AC Seater 2+3,18:32,20:50,02h 18m,INR 255,52 Seats available,3.3,https://www.redbus.in/bus-tickets/delhi-to-aligarh-uttar-pradesh,Delhi to Aligarh (uttar pradesh)
UPSRTC - PYD0155,Janrath AC Seater 2+3,18:01,22:31,04h 30m,INR 396,48 Seats available,"2.6
7",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - PYD0030,Volvo AC Seater 2+2,18:30,23:00,04h 30m,INR 658,38 Seats available,"3.3
2",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - RBL0010,Ordinary Non AC Seater 2+3,19:00,00:00,05h 00m,INR 310,52 Seats available,3.3,https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - PYD0157,Janrath AC Seater 2+3,19:01,23:01,04h 00m,INR 396,48 Seats available,"1.5
4",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
UPSRTC - PYD0037,Volvo AC Seater 2+2,19:30,23:59,04h 29m,INR 658,39 Seats available,"3.3
1",https://www.redbus.in/bus-tickets/lucknow-to-allahabad,Lucknow to Allahabad
